"","Sector","URN","Places","Local.authority","Organisation","Registration.date","Overall.experiences.and.progress.of.children.and.young.people","Latest.full.inspection.date","Homes","Join","Leave","keep"
"986","Local Authority","SC037302",3,"WARRINGTON","Warrington Borough Council","19/09/2003","Good",2014-08-13,1,"2014-01-01",NA,NA
"987","Local Authority","SC040631",8,"SURREY","Surrey County Council","18/11/2003","Good",2014-08-13,1,"2014-01-01",NA,NA
"988","For-profit","SC006921",5,"BROMLEY","Five Rivers Child Care Limited","30/09/1997","Good",2014-08-13,1,"2014-01-01",NA,NA
"989","For-profit","SC457573",3,"DURHAM","Cambian Childcare Ltd","14/02/2013","Good",2014-08-13,1,"2014-01-01",NA,NA
"990","For-profit","SC463639",4,"BIRMINGHAM","Aston Children's Care Ltd","19/07/2013","Good",2014-08-12,1,"2014-01-01",NA,NA
"991","For-profit","SC065617",1,"ROCHDALE",NA,NA,"Good",2014-08-12,1,"2014-01-01","2017-05-15",NA
"992","Local Authority","SC036266",6,"DERBY","Derby City Council",NA,"Good",2014-08-12,1,"2014-01-01","2018-05-04",NA
"993","Local Authority","SC361789",10,"CORNWALL","Cornwall Council","05/10/2007","Good",2014-08-12,1,"2014-01-01",NA,NA
"994","For-profit","SC042147",6,"WEST SUSSEX","Child First Limited","20/03/2003","Good",2014-08-12,1,"2014-01-01",NA,NA
"995","For-profit","SC008015",33,"DONCASTER","Hesley Services Limited","18/01/1996","Good",2014-08-12,1,"2014-01-01","2021-11-22",NA
"996","Local Authority","SC356963",6,"KIRKLEES","Kirklees Council","28/03/2007","Good",2014-08-12,1,"2014-01-01",NA,NA
"997","For-profit","SC397112",4,"CHESHIRE WEST AND CHESTER","Alliance Care & Education Limited","30/07/2009","Outstanding",2014-08-12,1,"2014-01-01","2022-09-30",NA
"998","For-profit","SC423959",5,"BARKING AND DAGENHAM","Heartwood Residential Services Ltd","01/03/2011","Good",2014-08-12,1,"2014-01-01",NA,NA
"999","Local Authority","SC457780",8,"BRENT","London Borough of Brent","07/12/2012","Good",2014-08-12,1,"2014-01-01",NA,NA
"1000","Local Authority","SC035235",3,"DURHAM","Durham County Council","04/09/2003","Good",2014-08-11,1,"2014-01-01",NA,NA
"1001","For-profit","SC449099",3,"LEICESTERSHIRE","Quantum Care UK Limited","23/07/2012","Good",2014-08-11,1,"2014-01-01",NA,NA
"1002","For-profit","SC008607",2,"STOCKPORT","The Partnership of Care Today Children's Services","02/07/2001","Good",2014-08-08,1,"2014-01-01",NA,NA
"1003","Local Authority","SC034953",5,"CALDERDALE","Calderdale Metropolitan Borough Council","05/08/2003","Good",2014-08-08,1,"2014-01-01",NA,NA
"1004","Local Authority","SC033056",4,"COVENTRY","Coventry City Council","31/03/2003","Good",2014-08-07,1,"2014-01-01",NA,NA
"1005","Local Authority","SC036732",8,"NOTTINGHAMSHIRE","Nottinghamshire County Council","07/02/2003","Good",2014-08-07,1,"2014-01-01",NA,NA
"1006","For-profit","SC381722",2,"BURY","Pathfinders (childcare) Ltd","27/01/2009","Good",2014-08-07,1,"2014-01-01","2020-02-26",NA
"1007","Third Sector","SC032154",12,"BARNSLEY","National Autistic Society","18/08/2004","Good",2014-08-07,1,"2014-01-01",NA,NA
"1008","For-profit","SC456405",2,"ROCHDALE","Cambian Childcare Ltd",NA,"Good",2014-08-07,1,"2014-01-01","2018-08-01",NA
"1009","Local Authority","SC034744",8,"NORTHAMPTONSHIRE","Northamptonshire County Council","01/10/2003","Outstanding",2014-08-07,1,"2014-01-01","2019-07-31",NA
"1010","For-profit","SC059782",6,"HAVERING","Footsteps Care Homes Limited","06/09/2004","Good",2014-08-06,1,"2014-01-01","2019-09-29",NA
"1011","For-profit","SC032838",8,"CUMBRIA","Appletree Treatment Centre Limited","25/02/2004","Good",2014-08-06,1,"2014-01-01",NA,NA
"1012","For-profit","SC471058",1,"PLYMOUTH","Cambian Childcare Ltd","03/12/2013","Good",2014-08-06,1,"2014-01-01",NA,NA
"1013","Third Sector","SC004085",7,"POOLE","Diverse Abilities Plus Ltd.","04/09/1995","Good",2014-08-06,1,"2014-01-01",NA,NA
"1014","Third Sector","SC025747",3,"STOCKPORT","The Together Trust","25/02/1994","Good",2014-08-06,1,"2014-01-01",NA,NA
"1015","For-profit","SC008810",4,"NOTTINGHAMSHIRE","Pathway Care Solutions Ltd 04004053","13/02/2002","Good",2014-08-06,1,"2014-01-01",NA,NA
"1016","For-profit","SC398315",3,"HEREFORDSHIRE",NA,NA,"Good",2014-08-06,1,"2014-01-01","2017-04-24",NA
"1017","For-profit","SC420066",8,"TRAFFORD",NA,NA,"Good",2014-08-06,1,"2014-01-01","2017-11-30",NA
"1018","For-profit","SC423741",3,"LEEDS","Cambian Childcare Ltd","28/01/2011","Good",2014-08-06,1,"2014-01-01","2021-04-01",NA
"1019","For-profit","SC424759",3,"KIRKLEES","Harmony Childrens Services","01/04/2011","Good",2014-08-06,1,"2014-01-01",NA,NA
"1020","Third Sector","SC052398",6,"SOUTHEND ON SEA","The St Christopher School","18/03/2004","Outstanding",2014-08-06,1,"2014-01-01",NA,NA
"1021","For-profit","SC459107",4,"CUMBRIA","Radical Services Ltd","23/05/2013","Good",2014-08-06,1,"2014-01-01","2019-06-25",NA
"1022","For-profit","SC061924",3,"SEFTON","Progressive Futures Care Limited","05/10/2004","Good",2014-08-05,1,"2014-01-01",NA,NA
"1023","Third Sector","SC428512",14,"SEFTON",NA,NA,"Good",2014-08-05,1,"2014-01-01","2015-10-01",NA
"1024","For-profit","SC467704",2,"DEVON","Cambian Childcare Ltd","09/08/2013","Good",2014-08-05,1,"2014-01-01",NA,NA
"1025","For-profit","SC020151",8,"DERBYSHIRE","Country Care Childrens Homes Limited","26/08/1999","Good",2014-08-05,1,"2014-01-01",NA,NA
"1026","For-profit","SC359846",5,"WOLVERHAMPTON","Cambian Childcare Ltd","24/08/2007","Good",2014-08-05,1,"2014-01-01",NA,NA
"1027","Local Authority","SC037481",7,"READING","Reading Borough Council",NA,"Good",2014-08-05,1,"2014-01-01","2018-11-29",NA
"1028","For-profit","SC476267",5,"SHROPSHIRE","Cambian Childcare Ltd","06/03/2014","Good",2014-08-05,1,"2014-01-01",NA,NA
"1029","Third Sector","SC023636",10,"KENT","Institute of Integrated Systemic Therapy","29/11/2001","Good",2014-08-04,1,"2014-01-01",NA,NA
"1030","Local Authority","SC033441",7,"KENSINGTON AND CHELSEA",NA,NA,"Good",2014-08-04,1,"2014-01-01","2017-06-30",NA
"1031","Local Authority","SC042950",6,"LINCOLNSHIRE","Lincolnshire County Council","29/01/2004","Good",2014-08-04,1,"2014-01-01",NA,NA
"1032","Local Authority","SC034706",5,"KINGSTON UPON HULL","Kingston Upon Hull City Council","01/04/2003","Good",2014-08-04,1,"2014-01-01",NA,NA
"1033","Local Authority","SC062937",4,"SEFTON",NA,NA,"Good",2014-08-04,1,"2014-01-01","2015-09-23",NA
"1034","Local Authority","SC033457",27,"LEEDS","Leeds City Council","10/07/2003","Good",2014-07-31,1,"2014-01-01",NA,NA
"1035","For-profit","SC064666",2,"MANCHESTER","Cambian Childcare Ltd","21/03/2006","Good",2014-07-31,1,"2014-01-01",NA,NA
"1036","For-profit","SC066218",5,"ST HELENS","Essandore Limited","15/03/2006","Good",2014-07-31,1,"2014-01-01",NA,NA
"1037","For-profit","SC404983",2,"STAFFORDSHIRE","Roundhouse Care Ltd","22/01/2010","Good",2014-07-31,1,"2014-01-01",NA,NA
"1038","For-profit","SC398367",4,"WIGAN","Cherry Cottage Limited","22/09/2009","Outstanding",2014-07-31,1,"2014-01-01","2020-04-23",NA
"1039","For-profit","SC456964",2,"HALTON","Cambian Childcare Ltd","14/02/2013","Good",2014-07-31,1,"2014-01-01",NA,NA
"1040","Local Authority","SC062536",6,"DERBYSHIRE","Derbyshire County Council","20/01/2005","Good",2014-07-31,1,"2014-01-01",NA,NA
"1041","For-profit","SC440170",3,"STAFFORDSHIRE","Educare Adolescent Services Limited",NA,"Good",2014-07-31,1,"2014-01-01","2018-07-24",NA
"1042","For-profit","SC476008",2,"CHESHIRE EAST","Footsteps A Path To Change 08 Limited","28/02/2014","Good",2014-07-31,1,"2014-01-01",NA,NA
"1043","For-profit","SC064573",1,"ST HELENS","Crossway Services Limited","20/06/2005","Good",2014-07-30,1,"2014-01-01",NA,NA
"1044","For-profit","SC463386",36,"DERBYSHIRE","Rushcliffe Specialist Schools (Mickleover) Ltd","13/09/2013","Good",2014-07-30,1,"2014-01-01","2019-11-25",NA
"1045","For-profit","SC468315",4,"REDBRIDGE","Chartwell Care Services Ltd","16/08/2013","Good",2014-07-30,1,"2014-01-01","2020-02-28",NA
"1046","For-profit","SC039087",1,"LANCASHIRE","Doncaster Deaf Trust","14/01/2005","Good",2014-07-30,1,"2014-01-01",NA,NA
"1047","Local Authority","SC031410",7,"EAST SUSSEX","East Sussex County Council","31/07/2003","Good",2014-07-30,1,"2014-01-01",NA,NA
"1048","Local Authority","SC041887",7,"CROYDON","London Borough of Croydon","27/11/2003","Good",2014-07-30,1,"2014-01-01",NA,NA
"1049","For-profit","SC063883",3,"KIRKLEES","Keys Care Limited","01/04/2005","Good",2014-07-30,1,"2014-01-01",NA,NA
"1050","For-profit","SC008490",4,"STOCKPORT","Stepping Stones Children's Services Limited","09/05/2001","Outstanding",2014-07-30,1,"2014-01-01",NA,NA
"1051","For-profit","SC417387",2,"BRIGHTON AND HOVE","Quantum Care UK Limited",NA,"Outstanding",2014-07-30,1,"2014-01-01","2018-08-01",NA
"1052","Local Authority","SC067052",4,"BOLTON","Bolton Metropolitan Borough Council","19/06/2006","Good",2014-07-30,1,"2014-01-01","2021-08-09",NA
"1053","For-profit","SC366090",2,"SHROPSHIRE","Reflexion Care Group Limited","07/01/2008","Good",2014-07-30,1,"2014-01-01",NA,NA
"1054","Local Authority","SC034938",4,"CAMBRIDGESHIRE",NA,NA,"Good",2014-07-30,1,"2014-01-01","2016-01-27",NA
"1055","Local Authority","SC032725",6,"SUNDERLAND",NA,NA,"Good",2014-07-29,1,"2014-01-01","2017-03-31",NA
"1056","Third Sector","SC425921",6,"LUTON",NA,NA,"Good",2014-07-29,1,"2014-01-01","2016-04-29",NA
"1057","For-profit","SC437171",5,"SWINDON","John-Edwards Care Homes Ltd","28/09/2011","Good",2014-07-29,1,"2014-01-01",NA,NA
"1058","For-profit","SC475689",6,"SEFTON","Witherslack Group Ltd","21/03/2014","Outstanding",2014-07-29,1,"2014-01-01",NA,NA
"1059","For-profit","SC368821",6,"SUTTON",NA,NA,"Good",2014-07-28,1,"2014-01-01","2016-10-31",NA
"1060","For-profit","SC044276",4,"LIVERPOOL","Carehome Limited","17/06/2003","Outstanding",2014-07-28,1,"2014-01-01",NA,NA
"1061","For-profit","SC359832",3,"WEST SUSSEX","My Choice Children's Homes Ltd","17/08/2007","Good",2014-07-28,1,"2014-01-01","2023-02-21",NA
"1062","For-profit","SC416267",2,"ROCHDALE","Time-Out Childrens Homes Limited","27/09/2010","Good",2014-07-25,1,"2014-01-01",NA,NA
"1063","For-profit","SC025664",3,"LEWISHAM","Ownlife Limited 02932099","26/06/2001","Good",2014-07-25,1,"2014-01-01",NA,NA
"1064","For-profit","SC040175",8,"KENT","The Drive Care Homes Ltd","01/12/2003","Good",2014-07-25,1,"2014-01-01",NA,NA
"1065","Third Sector","SC384687",5,"WILTSHIRE",NA,NA,"Good",2014-07-25,1,"2014-01-01","2017-09-13",NA
"1066","Local Authority","SC034922",4,"ROCHDALE","Rochdale Metropolitan Borough Council","19/09/2003","Good",2014-07-25,1,"2014-01-01",NA,NA
"1067","For-profit","SC389174",8,"SOUTHAMPTON","Keys Group Progressive Care & Education Limited","17/02/2009","Good",2014-07-25,1,"2014-01-01",NA,NA
"1068","For-profit","SC475944",4,"CAMBRIDGESHIRE",NA,NA,"Good",2014-07-25,1,"2014-01-01","2015-10-20",NA
"1069","Local Authority","SC033326",6,"KIRKLEES","Kirklees Council","07/10/2003","Good",2014-07-24,1,"2014-01-01",NA,NA
"1070","Local Authority","SC064735",6,"LANCASHIRE","Lancashire County Council","27/09/2005","Good",2014-07-24,1,"2014-01-01",NA,NA
"1071","For-profit","SC472680",5,"MANCHESTER","New Horizons (stockport) Ltd","31/01/2014","Good",2014-07-24,1,"2014-01-01",NA,NA
"1072","For-profit","SC066469",3,"SHEFFIELD","Keys Care Limited","12/01/2006","Good",2014-07-24,1,"2014-01-01",NA,NA
"1073","For-profit","SC446152",3,"BIRMINGHAM","Nh Care Limited","13/07/2012","Good",2014-07-24,1,"2014-01-01",NA,NA
"1074","For-profit","SC367551",3,"STOKE ON TRENT","Crystal Care Solutions Limited Company Number 05952454","25/01/2008","Good",2014-07-24,1,"2014-01-01",NA,NA
"1075","For-profit","SC456959",1,"WARRINGTON","Cambian Childcare Ltd","06/11/2012","Good",2014-07-24,1,"2014-01-01",NA,NA
"1076","For-profit","SC457013",3,"SANDWELL","Motivations Activity Projects Ltd","23/11/2012","Good",2014-07-24,1,"2014-01-01",NA,NA
"1077","For-profit","SC475703",8,"NORTH YORKSHIRE","Witherslack Group Ltd","08/05/2014","Good",2014-07-24,1,"2014-05-08",NA,NA
"1078","For-profit","SC060118",1,"WILTSHIRE","Five Rivers Child Care Limited","24/03/2004","Good",2014-07-23,1,"2014-01-01","2022-01-24",NA
"1079","For-profit","SC461275",2,"STAFFORDSHIRE","Hillcrest Children's Services (2) Ltd","19/04/2013","Good",2014-07-23,1,"2014-01-01","2021-08-16",NA
"1080","For-profit","SC470645",4,"HERTFORDSHIRE","Surecare Residential Ltd","21/10/2013","Good",2014-07-23,1,"2014-01-01",NA,NA
"1081","For-profit","SC033817",4,"NORTHAMPTONSHIRE","Direct Care Ltd","18/10/2002","Good",2014-07-23,1,"2014-01-01",NA,NA
"1082","Local Authority","SC036551",4,"WALSALL","Walsall Metropolitan Borough Council","31/03/2003","Good",2014-07-23,1,"2014-01-01","2021-04-30",NA
"1083","For-profit","SC417795",4,"LEEDS","Pebbles Care","02/11/2010","Good",2014-07-23,1,"2014-01-01",NA,NA
"1084","Third Sector","SC444376",5,"DEVON",NA,NA,"Good",2014-07-23,1,"2014-01-01","2016-07-25",NA
"1085","For-profit","SC452713",4,"SOUTH GLOUCESTERSHIRE","Greenfields Adolescent Development Limited","29/09/2012","Good",2014-07-23,1,"2014-01-01",NA,NA
"1086","For-profit","SC385631",4,"KENT","Channels and Choices Kent LLP","06/11/2008","Good",2014-07-23,1,"2014-01-01",NA,NA
"1087","Local Authority","SC051513",4,"DERBYSHIRE","Nottinghamshire County Council","02/02/2004","Good",2014-07-23,1,"2014-01-01",NA,NA
"1088","For-profit","SC052744",5,"KNOWSLEY","Quality Protects Children Ltd","20/11/2003","Good",2014-07-23,1,"2014-01-01",NA,NA
"1089","For-profit","SC457430",3,"HARTLEPOOL","Cambian Childcare Ltd","21/12/2012","Good",2014-07-23,1,"2014-01-01",NA,NA
"1090","For-profit","SC010087",4,"LANCASHIRE",NA,NA,"Good",2014-07-22,1,"2014-01-01","2016-04-05",NA
"1091","Local Authority","SC033492",12,"BRADFORD","Bradford Childrens Specialist Service","26/06/2003","Outstanding",2014-07-22,1,"2014-01-01",NA,NA
"1092","For-profit","SC043197",4,"ISLE OF WIGHT","",NA,"Good",2014-07-22,1,"2014-01-01","2019-03-12",NA
"1093","For-profit","SC067757",4,"BUCKINGHAMSHIRE","Benjamin Uk Ltd","21/08/2006","Good",2014-07-22,1,"2014-01-01",NA,NA
"1094","Local Authority","SC037423",7,"SURREY","West Sussex County Council","21/02/2003","Good",2014-07-22,1,"2014-01-01","2019-09-27",NA
"1095","Local Authority","SC040723",4,"BOLTON","Bolton Metropolitan Borough Council","18/07/2003","Good",2014-07-22,1,"2014-01-01",NA,NA
"1096","For-profit","SC457308",5,"EAST RIDING OF YORKSHIRE","Cambian Childcare Ltd","20/01/2013","Good",2014-07-22,1,"2014-01-01",NA,NA
"1097","Local Authority","SC034134",6,"BARNET","London Borough of Barnet","31/01/2005","Good",2014-07-21,1,"2014-01-01","2021-06-30",NA
"1098","For-profit","SC423460",3,"SEFTON","Teen-Works Care Limited","18/02/2011","Good",2014-07-21,1,"2014-01-01",NA,NA
"1099","For-profit","SC473375",2,"KNOWSLEY","Continuum Support - Care Services Ltd","20/01/2014","Good",2014-07-21,1,"2014-01-01",NA,NA
"1100","For-profit","SC021679",4,"MANCHESTER","The Partnership of Care Today Children's Services","09/06/1995","Good",2014-07-18,1,"2014-01-01",NA,NA
"1101","For-profit","SC366093",3,"SHROPSHIRE","Reflexion Care Group Limited","07/01/2008","Good",2014-07-18,1,"2014-01-01",NA,NA
"1102","For-profit","SC457554",1,"SEFTON",NA,NA,"Good",2014-07-18,1,"2014-01-01","2017-01-31",NA
"1103","For-profit","SC061837",4,"WARWICKSHIRE","Archways Care Ltd","08/06/2005","Good",2014-07-17,1,"2014-01-01",NA,NA
"1104","For-profit","SC068046",1,"HAMPSHIRE","New Forest Care Ltd","23/08/2006","Outstanding",2014-07-17,1,"2014-01-01",NA,NA
"1105","For-profit","SC412175",4,"BIRMINGHAM","Cambian Childcare Ltd","18/07/2010","Good",2014-07-17,1,"2014-01-01",NA,NA
"1106","For-profit","SC469411",4,"BURY",NA,NA,"Good",2014-07-17,1,"2014-01-01","2017-10-27",NA
"1107","For-profit","SC063673",4,"SEFTON","After Care (N W) Limited","21/02/2005","Good",2014-07-17,1,"2014-01-01",NA,NA
"1108","For-profit","SC398481",5,"STAFFORDSHIRE","Hillcrest Children's Services (2) Ltd","21/07/2009","Outstanding",2014-07-17,1,"2014-01-01",NA,NA
"1109","Local Authority","SC034825",5,"ROCHDALE",NA,NA,"Good",2014-07-17,1,"2014-01-01","2016-05-01",NA
"1110","Local Authority","SC068179",4,"EAST SUSSEX","East Sussex County Council","25/08/2006","Good",2014-07-16,1,"2014-01-01",NA,NA
"1111","For-profit","SC068392",4,"EALING",NA,NA,"Good",2014-07-16,1,"2014-01-01","2016-08-31",NA
"1112","Local Authority","SC370703",20,"SURREY","Surrey County Council","02/05/2008","Good",2014-07-16,1,"2014-01-01",NA,NA
"1113","For-profit","SC414738",4,"MILTON KEYNES","Benjamin Uk Ltd","15/11/2010","Good",2014-07-16,1,"2014-01-01",NA,NA
"1114","For-profit","SC029560",6,"SOUTHEND ON SEA","Kites Children Service's Ltd","22/05/2002","Outstanding",2014-07-16,1,"2014-01-01",NA,NA
"1115","For-profit","SC042652",3,"SEFTON","After Care (N W) Limited","20/03/2003","Good",2014-07-16,1,"2014-01-01",NA,NA
"1116","For-profit","SC425071",6,"KENT","Ferndearle Child Care Services Limited","12/03/2012","Good",2014-07-16,1,"2014-01-01",NA,NA
"1117","Third Sector","SC055780",8,"SEFTON","Autism Initiatives (UK)","03/08/2004","Good",2014-07-16,1,"2014-01-01","2021-09-09",NA
"1118","For-profit","SC443544",3,"NOTTINGHAM",NA,NA,"Outstanding",2014-07-16,1,"2014-01-01","2017-05-26",NA
"1119","For-profit","SC457567",1,"TORBAY","Cambian Childcare Ltd","14/03/2013","Good",2014-07-16,1,"2014-01-01",NA,NA
"1120","For-profit","SC457855",3,"DURHAM",NA,NA,"Good",2014-07-16,1,"2014-01-01","2016-10-01",NA
"1121","Local Authority","SC035543",6,"EAST RIDING OF YORKSHIRE","East Riding of Yorkshire Council","01/04/2003","Good",2014-07-15,1,"2014-01-01",NA,NA
"1122","For-profit","SC020594",10,"SHROPSHIRE","Keys Education Limited","22/12/1992","Good",2014-07-15,1,"2014-01-01",NA,NA
"1123","For-profit","SC403890",4,"LEEDS","The Partnership of Care Today Children's Services","20/05/2010","Good",2014-07-15,1,"2014-01-01",NA,NA
"1124","Local Authority","SC033805",6,"BARNET","London Borough of Barnet","06/10/2004","Good",2014-07-14,1,"2014-01-01",NA,NA
"1125","Local Authority","SC040105",6,"KINGSTON UPON HULL","Kingston Upon Hull City Council","01/04/2003","Good",2014-07-14,1,"2014-01-01",NA,NA
"1126","For-profit","SC423407",8,"DURHAM","Keys Care Limited","28/01/2011","Good",2014-07-14,1,"2014-01-01",NA,NA
"1127","For-profit","SC394478",3,"STOCKPORT","Cornerstone Children's Homes Limited","05/06/2009","Good",2014-07-11,1,"2014-01-01",NA,NA
"1128","Local Authority","SC036735",8,"WALTHAM FOREST","London Borough of Waltham Forest","20/01/2004","Good",2014-07-11,1,"2014-01-01","2020-01-13",NA
"1129","For-profit","SC398385",3,"STAFFORDSHIRE","Hillcrest Children's Services (2) Ltd","20/07/2009","Good",2014-07-11,1,"2014-01-01","2021-08-24",NA
"1130","For-profit","SC454035",5,"KNOWSLEY","Lytham Care Limited","24/12/2012","Good",2014-07-10,1,"2014-01-01",NA,NA
"1131","For-profit","SC068032",6,"SHROPSHIRE","Branas Isaf (holdings) Limited","31/07/2006","Good",2014-07-10,1,"2014-01-01",NA,NA
"1132","For-profit","SC065855",3,"BIRMINGHAM","Cambian Childcare Ltd","04/01/2006","Good",2014-07-10,1,"2014-01-01",NA,NA
"1133","For-profit","SC069198",3,"BURY","Meadows Care Ltd","06/03/2007","Good",2014-07-10,1,"2014-01-01",NA,NA
"1134","For-profit","SC457089",3,"SHROPSHIRE","Cambian Childcare Ltd","16/01/2013","Good",2014-07-10,1,"2014-01-01",NA,NA
"1135","For-profit","SC059717",6,"WILTSHIRE","Five Rivers Child Care Limited","29/03/2007","Good",2014-07-09,1,"2014-01-01",NA,NA
"1136","For-profit","SC372504",55,"DERBYSHIRE","The Senad Group Limited","14/08/2009","Outstanding",2014-07-09,1,"2014-01-01",NA,NA
"1137","For-profit","SC415710",3,"BLACKPOOL","Cambian Childcare Ltd","28/09/2010","Good",2014-07-09,1,"2014-01-01",NA,NA
"1138","For-profit","SC471178",5,"BARNSLEY","Dove Adolescent Services Limited","29/11/2013","Good",2014-07-09,1,"2014-01-01",NA,NA
"1139","For-profit","SC022442",1,"ST HELENS","PIC Children's Services Limited","20/07/2001","Good",2014-07-09,1,"2014-01-01",NA,NA
"1140","Third Sector","SC032069",8,"LEICESTERSHIRE","Praxis Care","01/08/2002","Good",2014-07-09,1,"2014-01-01",NA,NA
"1141","For-profit","SC456413",1,"ROCHDALE","Cambian Childcare Ltd","17/02/2013","Good",2014-07-09,1,"2014-01-01",NA,NA
"1142","For-profit","SC386003",4,"CUMBRIA","Appletree Treatment Centre Limited","05/12/2008","Good",2014-07-09,1,"2014-01-01",NA,NA
"1143","Third Sector","SC065792",6,"NORFOLK","Institute of Integrated Systemic Therapy","06/10/2005","Good",2014-07-09,1,"2014-01-01",NA,NA
"1144","Third Sector","SC396813",50,"EAST SUSSEX","Chailey Heritage Foundation","15/07/2009","Good",2014-07-09,1,"2014-01-01",NA,NA
"1145","Third Sector","SC037327",8,"KENT","The Caldecott Foundation Limited","04/09/2002","Good",2014-07-09,1,"2014-01-01",NA,NA
